DC ID,Latitude,Longitude,Assemb,Fixed,q0,c0,q1_old,c1,q2_old,c2
DC0001,61.191,-149.89,6.33,329200,150000,1.65,100000,1.48,100000,1.48
DC0002,33.229,-86.792,2.86,125300,150000,0.63,100000,0.56,100000,0.56
DC0003,34.251,-86.236,1.90,141500,150000,0.71,100000,0.64,100000,0.64
DC0004,33.662,-85.91,5.74,119300,150000,0.6,100000,0.54,100000,0.54
DC0005,34.761,-87.082,0.30,138200,150000,0.69,100000,0.62,100000,0.62
DC0006,33.39,-86.952,7.49,117900,150000,0.59,100000,0.53,100000,0.53
DC0007,33.449,-86.867,0.38,123100,150000,0.62,100000,0.55,100000,0.55
DC0008,32.787,-86.681,2.14,114900,150000,0.57,100000,0.52,100000,0.52
DC0009,31.061,-85.252,6.56,140200,150000,0.7,100000,0.63,100000,0.63
DC0010,34.144,-86.752,3.10,149200,150000,0.75,100000,0.67,100000,0.67
DC0011,30.626,-87.875,3.27,129400,150000,0.65,100000,0.58,100000,0.58
DC0012,34.536,-86.922,7.71,137600,150000,0.69,100000,0.62,100000,0.62
DC0013,31.135,-85.396,3.71,128400,150000,0.64,100000,0.58,100000,0.58
DC0014,31.311,-85.869,7.68,116200,150000,0.58,100000,0.52,100000,0.52
DC0015,34.829,-87.648,0.45,151600,150000,0.76,100000,0.68,100000,0.68
DC0016,30.393,-87.717,7.09,132200,150000,0.66,100000,0.59,100000,0.59
DC0017,34.468,-85.756,6.57,111200,150000,0.56,100000,0.5,100000,0.5
DC0018,33.6107,-86.8321,2.24,121900,150000,0.61,100000,0.55,100000,0.55
DC0019,34.0287,-85.8793,3.96,150700,150000,0.75,100000,0.68,100000,0.68
DC0020,34.3425,-86.3174,4.21,145000,150000,0.73,100000,0.65,100000,0.65
DC0021,34.4478,-86.9223,2.35,143900,150000,0.72,100000,0.65,100000,0.65
DC0022,33.4702,-86.807,6.41,128000,150000,0.64,100000,0.58,100000,0.58
DC0023,33.3639,-86.812,1.94,117500,150000,0.59,100000,0.53,100000,0.53
DC0024,34.7364,-86.5502,3.63,144700,150000,0.72,100000,0.65,100000,0.65
DC0025,33.5143,-86.5704,4.53,119100,150000,0.6,100000,0.54,100000,0.54
DC0026,30.6237,-87.7567,4.19,132700,150000,0.66,100000,0.6,100000,0.6
DC0027,34.6228,-86.8421,5.80,140400,150000,0.7,100000,0.63,100000,0.63
DC0028,33.2921,-87.0824,3.54,120500,150000,0.6,100000,0.54,100000,0.54
DC0029,30.6785,-88.3434,5.49,128000,150000,0.64,100000,0.58,100000,0.58
DC0030,32.3823,-86.1915,2.90,114500,150000,0.57,100000,0.52,100000,0.52
DC0031,34.783,-87.5692,6.27,143000,150000,0.72,100000,0.64,100000,0.64
DC0032,33.23,-87.5939,2.57,126100,150000,0.63,100000,0.57,100000,0.57
DC0033,32.7009,-85.3756,4.72,102600,150000,0.51,100000,0.46,100000,0.46
DC0034,33.5807,-85.8179,2.23,124100,150000,0.62,100000,0.56,100000,0.56
DC0035,33.2956,-86.7718,2.99,120100,150000,0.6,100000,0.54,100000,0.54
DC0036,32.4755,-86.4289,6.42,118700,150000,0.59,100000,0.53,100000,0.53
DC0037,31.9032,-85.8691,6.22,108900,150000,0.54,100000,0.49,100000,0.49
DC0038,33.637,-86.5603,7.55,126100,150000,0.63,100000,0.57,100000,0.57
DC0039,33.1226,-87.5594,3.84,124600,150000,0.62,100000,0.56,100000,0.56
DC0040,34.643,-87.7567,3.12,149800,150000,0.75,100000,0.67,100000,0.67
DC0041,32.6381,-86.1955,1.42,111500,150000,0.56,100000,0.5,100000,0.5
DC0042,36.384,-94.2128,1.80,115300,150000,0.58,100000,0.52,100000,0.52
DC0043,35.8934,-89.9066,7.76,110900,150000,0.55,100000,0.5,100000,0.5
DC0044,34.605,-92.4901,2.78,132700,150000,0.66,100000,0.6,100000,0.6
DC0045,35.082,-92.3616,6.92,128300,150000,0.64,100000,0.58,100000,0.58
DC0046,36.1193,-94.0389,7.87,119000,150000,0.6,100000,0.54,100000,0.54
DC0047,34.9922,-90.7913,1.44,106100,150000,0.53,100000,0.48,100000,0.48
DC0048,35.3705,-94.4131,7.76,109300,150000,0.55,100000,0.49,100000,0.49
DC0049,36.1808,-93.0576,1.00,122900,150000,0.61,100000,0.55,100000,0.55
DC0050,34.4478,-93.0777,5.55,128600,150000,0.64,100000,0.58,100000,0.58
DC0051,34.8662,-92.1104,0.25,132000,150000,0.66,100000,0.59,100000,0.59
DC0052,35.8916,-90.6583,5.26,107300,150000,0.54,100000,0.48,100000,0.48
DC0053,34.7487,-92.3542,5.50,129000,150000,0.65,100000,0.58,100000,0.58
DC0054,34.7179,-92.3715,0.33,134300,150000,0.67,100000,0.6,100000,0.6
DC0055,33.2622,-93.2181,3.22,124100,150000,0.62,100000,0.56,100000,0.56
DC0056,34.8609,-92.4011,1.17,126300,150000,0.63,100000,0.57,100000,0.57
